x z pitch q0 q1 q2 q3 q4 q5 q6 q7 q8 q9 q10 q11 dq0 dq1 dq2 dq3 dq4 dq5 dq6 dq7 dq8 dq9 dq10 dq11 roll 
0.0442038 0.28 0 0 -0.95138 1.70462 0 -0.812113 1.73236 0 -0.812113 1.73236 0 -0.95138 1.70462 0 -1.22682 -0.173139 -2.10703e-14 3.56902 -4.63567 2.10703e-14 3.56902 -4.63567 0 -1.22682 -0.173139 0 
0.0451196 0.28 0 0 -0.953571 1.7043 4.14192e-17 -0.806181 1.72498 -4.14192e-17 -0.806181 1.72498 0 -0.953571 1.7043 0 -1.09559 -0.160243 2.07096e-14 2.96582 -3.69063 -2.07096e-14 2.96582 -3.69063 0 -1.09559 -0.160243 0 
0.0460445 0.28 0 0 -0.955479 1.70401 0 -0.801336 1.7192 0 -0.801336 1.7192 0 -0.955479 1.70401 0 -0.953785 -0.143859 -2.07096e-14 2.42288 -2.88844 2.07096e-14 2.42288 -2.88844 0 -0.953785 -0.143859 0 
0.0469785 0.28 0 0 -0.957081 1.70376 0 -0.797466 1.71476 0 -0.797466 1.71476 0 -0.957081 1.70376 0 -0.801096 -0.123985 0 1.935 -2.2214 0 1.935 -2.2214 0 -0.801096 -0.123985 0 
0.0479215 0.28 0 0 -0.958355 1.70356 0 -0.794476 1.71141 0 -0.794476 1.71141 0 -0.958355 1.70356 0 -0.637193 -0.100689 0 1.49479 -1.67675 0 1.49479 -1.67675 0 -0.637193 -0.100689 0 
0.0488736 0.28 0 0 -0.962432 1.70893 0 -0.789673 1.70341 0 -0.789673 1.70341 0 -0.962432 1.70893 0 -2.03853 2.68386 0 2.40182 -3.9969 0 2.40182 -3.9969 0 -2.03853 2.68386 0 
0.0498347 0.28 0 0 -0.964321 1.71117 0 -0.789025 1.70332 0 -0.789025 1.70332 0 -0.964321 1.71117 0 -0.944378 1.11982 0 0.323603 -0.0448748 0 0.323603 -0.0448748 0 -0.944378 1.11982 0 
0.0508048 0.28 0 0 -0.966311 1.71429 0 -0.78881 1.70329 0 -0.78881 1.70329 0 -0.966311 1.71429 0 -0.995087 1.56086 0 0.107528 -0.0149772 0 0.107528 -0.0149772 0 -0.995087 1.56086 0 
0.051784 0.28 0 0 -0.968534 1.71851 0 -0.789021 1.70332 0 -0.789021 1.70332 0 -0.968534 1.71851 0 -1.11111 2.11175 0 -0.105612 0.0147106 0 -0.105612 0.0147106 0 -1.11111 2.11175 0 
0.0527723 0.28 0 0 -0.971136 1.72409 0 -0.789652 1.70341 0 -0.789652 1.70341 0 -0.971136 1.72409 0 -1.30116 2.78773 0 -0.315303 0.0437292 0 -0.315303 0.0437292 0 -1.30116 2.78773 0 
